ragione sociale;Tipologia;sito intenet;funzioni attribuite e attività svolte in favore dell'amministrazione; attività di servizio pubblico affidate dalla provincia;quota di partecipazione %;durata impegno;rappresentanti della provincia negli organi di governo;trattamento economico spettante ai rappresentanti della provincia  negli organi di governo;risultato esercizio 2021;risultato esercizio 2022;risultato esercizio 2023;onere complessivo gravante sul bilancio (impegnato 2023);incarichi di amministratore dell'ente anno 2023;trattamento economico spettante all'amministratore dell'ente anno 2023
ENTE AUTONOMO MAGAZZINI GENERALI DI VERONA IN LIQUIDAZIONE;Ente pubblico;non presente;Soggetto non operativo che si limita a detenere la partecipazione totalitaria nella società Immobiliare Magazzini S.r.l che, a sua volta, gestisce il medesimo patrimonio immobiliare a suo tempo conferitole dall’ Ente autonomo;nessuna;33,33;fino al completamento della liquidazione;1;24.170,00 – compenso complessivo del liquidatore;53002;448027;17.980.398,00 Bilancio finale di liquidazione al 26/06/2023;0;1 Liquidatore;24170
CONSORZIO ZONA AGRICOLA INDUSTRIALE DI VERONA (Z.A.I.);Ente pubblico;http://www.consorziozai.it/;Consorzio costituito con Decreto del Presidente della Repubblica nel 1948 per lo sviluppo aree industriali;nessuna;33,33;indeterminato;3;Compensi lordi: consigliere n.1 euro 47.824,90, consigliere n. 2 euro 48.180,88 e consigliere n. 3 euro 49.774,70;2622685,8;2049001,46;809644,86;0;Consiglio direttivo : 9 membri;Complessivamente per l'intero consiglio direttivo 501.959,49 compensi+rimborso spese – pag. 33 della Nota Integrativa al bilancio 2023
CONSORZIO AZIENDA TRASPORTI FUNICOLARI MALCESINE-MONTE BALDO;Ente pubblico;http://www.funiviedelbaldo.it/;Impianto ed esercizio della funivia che collega il lago di Garda con il Monte Baldo per il trasporto di persone e cose;nessuna;45;12 anni dalla data di entrata in vigore dello Statuto prorogato di dodicennio  in dodicennio;0;0;239983;2078502,08;1923781;0;Consiglio di Amministrazione: Presidente e quattro consiglieri;Per l’intero Consiglio di Amministrazione 80.578,00 euro come dichiarato a pag. 54 della Nota Integrativa al bilancio 2023.
FONDAZIONE CULTURALE SALIERI;Ente di diritto privato;http://www.teatrosalieri.it/fondazione;La Fondazione non ha scopo di lucro e si propone di promuovere, sostenere e incrementare la crescita culturale, i progetti e le attività sul territorio con particolare riferimento al Teatro Antonio Salieri.;nessuna;12,5;indeterminato;0;0;14877;1395;2042;0;Consiglio di indirizzo: 1 Presidente e 4 consiglieri;0
FONDAZIONE BARBIERI – ONLUS;Ente di diritto privato;non presente;Cura ed educazione dei bambini e giovani spastici della provincia di Verona;nessuna;nessuna;indeterminato;1 presidente e 6 membri cda;0;2217,81;-246831,41;20984,64;0;1 presidente e 6 membri cda;0
FONDAZIONE I.T.S. ACADEMY LAST;Ente di diritto privato;http://www.itslogistica.it/;Promuove la diffusione della cultura tecnica e scientifica, sostiene le misure per lo sviluppo dell'economia e le politiche attive del lavoro;nessuna;nessuna;indeterminato;1 nel consiglio di indirizzo;0;568506;641786;560146;0;Giunta esecutiva: 5 membri     /   Consiglio di Amministrazione composto da 5 membri;ZERO come dichiarato a pag. 9 della Nota Integrativa al bilancio 2023.
FONDAZIONE ATLANTIDE – TEATRO STABILE DI VERONA – G.A.T.;Ente di diritto privato;https://www.teatronuovoverona.it/;Non ha fini di lucro: promuove e sviluppa la cultura e l'arte nel settore del teatro di posa, della musica, della danza e del cinema;realizzazione eventi di spettacolo da realizzarsi in accordo con la Regione Veneto e/o altri Enti;nessuna;indeterminato;0;0;223,5;427,27;190,67;0;Consiglio direttivo 1 Presidente, 1 Vice Presidente e 3 Consiglieri;0
FONDAZIONE I.T.S PER IL TURISMO – ITS ACADEMY TURISMO VENETO;Ente di diritto privato;https://www.itsturismo.it/;Persegue la finalità di promuovere la diffusione della cultura tecnica e scientifica applicata alle attività di pianificazione e sviluppo dell’offerta culturale e turistica e di sostenere le misure per lo sviluppo dell’economia e delle politiche attive del lavoro.;nessuna;nessuna;indeterminato;0;0;414,94;1535,33;169382,98;0;Giunta esecutiva: 5 membri;DATO NON PERVENUTO – NESSUNO COMPONENTE IN CARICA DESIGNATO DA PROVINCIA DI VERONA
AZIENDA PROVINCIALE TRASPORTI VERONA S.R.L. in liquidazione;Società partecipata;non presente;Gestione del patrimonio immobiliare e delle infrastrutture della società afferenti il trasporto pubblico locale.;nessuna;100;fino al completamento della liquidazione;0;0;505649;136822;151284,38;0;1 Liquidatore;0
AEROPORTO VALERIO CATULLO S.P.A.;Società partecipata;http://www.aeroportoverona.it/;Gestione aeroporto di Verona;nessuna;10,324;31/12/2090;1;Nominato un consigliere, sostituito per scadenza incarico nel corso dell’esercizio: compenso consigliere n. 1 euro 6.344,00, compenso consigliere n. 2 euro 21.660,00;-10848081;2384462;-3280343;3496769,1;CDA: 1 Presidente, 1 Vice-Presidente, 1 Amministratore delegato e 6 Consiglieri;Complessivamente per l'intero consiglio di amministrazione – Euro 238.757,00  come dichiarato a pag. 45 della Nota Integrativa al bilancio 2023.
AUTOSTRADA DEL BRENNERO S.P.A.;Società partecipata;http://www.autobrennero.it/;Promozione, progettazione, costruzione ed esercizio di Autostrada del Brennero;nessuna;5,513;31/12/2038;1;12000;56951297;93547897;80032087;0;CDA: 1 Presidente, 1 Vice-Presidente, 1 Amministratore delegato e 11 Consiglieri  COMITATO ESECUTIVO: 5 membri;Complessivamente per l'intero cda euro 466.033,00 + euro 33.064,00 per rimborso spese, dato indicato nella nota integrativa del bilancio 2023 (pag. 215).
TUNNEL FERROVIARIO del BRENNERO – Società di Partecipazioni S.P.A.;Società partecipata;https://www.rfi.it/it/chi-siamo/governance.html#3;Gestione della partecipazione al capitale sociale di Galleria di base del Brennero BBT SE e dell’eventuale diverso soggetto promotore la realizzazione della galleria ferroviaria di base del Brennero.;nessuna;0,229;31/12/2025;1;0;-61501;54331;666292,59;0;CDA: 1 Presidente – Amministratore delegato e 6 Consiglieri;0
VERONAFIERE S.P.A.;Società partecipata;https://www.veronafiere.it/;La Società ha lo scopo di svolgere e di sostenere ogni attività diretta e indiretta volta all’organizzazione di manifestazioni fieristiche, nonché all’organizzazione di attività congressuali e di qualsiasi altra iniziativa che promuova l’interscambio, la diffusione o la conoscenza di beni e servizi e la loro commercializzazione a livello locale, nazionale e internazionale.;nessuna;1,402;31/12/2080;0;0;4962927;-6115096;2306332;0;CDA: 1 Presidente, 2 Vice-Presidente, 1 Amministratore delegato e 3 Consiglieri. ;Complessivamente per l'intero cda euro 488.513,00,  dato indicato nella nota integrativa del bilancio 2023 (pag. 43).   
